;link;title;description;category;transcriptions
0;1_SQUOyGLyk;FAST & GO Présentation du produit;"Découvrez la première vidéo de notre concept innovant qui permet d'accélérer et simplifier le service de la bière pression!!
#bière #gobelet #pression
contact@fastandgo.eu";presentation produit; 
1;gVSYaW-PI2A;EXEMPLE VIDEO SOIREE LANCEMENT DE PRODUIT;"EXEMPLE VIDEO SOIREE LANCEMENT DE PRODUIT
Réalisée par Johann Porcher (johann@hdproductions.fr)
http://www.hdproductions.fr";presentation produit;  il a faire en sorte que les gens n'investissent pas et bénéficient nos produits sans mettre un centime sur la femme et c'est très précisément de cette idée gêné ali club d'intelligence que j'ai le plaisir que nous avons le plaisir de lancer ce soir qui permet à tous les professionnels qui s'intéressent à la valorisation des informations sur internet de bénéficier d'une marque et flèches que je viens de vous la présenter évidemment qu'on va vous l'a démontré une infrastructure extrêmement solide et permet je pense de dire que par rapport aux ambitions que l'on a dans des projets d'entreprises nous sommes capables de les satisfaire sans limite et puis d'un zéro investissements démocratisant tous ces outils dont on sait très bien qu'ils sont devenus très puissante mais qui est bien souvent le prix est un inhibiteur pouvoir les objectifs c'était nobel gorille ont jugé plus tout puissant pour vos acteurs du marché on s'est dit il faut qu'il soit même dix fois qu'ils sont dix fois plus ravi c'était à nos points forts on a voulu j'allais dire le décuplement bien plus on a voulu x cendres capacités voilà un présentateur que les sentiments l'offre était assez peur à ses fins il répondait à c'est bien ça vous attendent les marginaux cette ligne je suis venu il ya quelques semaines un petit nez je dis vous avez en connaissiez déjà trouvés c'était très professionnel et j'ai découvert votre produit qui m'a vraiment interpellé je suis très intéressé notamment concerne actuellement même très problématique rouge à deux spéciales de la donner je suis à 100
2;TZdv50yboq4;Présentation par Jean-Marc Chignard du nouveau produit Devaux : ALF DVX;"BRACELET D'APPRENTISSAGE DEVAUX ALF DVX

Un accessoire très utile et confortable, pour apprendre à lancer sans se fatiguer.

ALF DVX : ";presentation produit;  [Musique] je vais vous présenter aujourd'hui la élèves c'est un petit accessoire qui nous permet de corriger un peu les défauts de lancer donc c'est parfait pour débuter c'est vraiment même indispensable aujourd'hui et c'est parfait pour apprendre à se corriger donc souvent le défaut c'est du poignet qui vient trop à l'arrière et même quand on a l'habitude de pêcher on a toujours des moments qui vont commencer à dériver pied des jours on sent qu'on pêche mal ou qu'on pêche moins bien parce qu'en fait on oublie certaines bases donc c'est essentiel des fois de reprendre ce mouvement ce petit accessoire qui en fait va déjà on ne s'avoue soulagé vous soutenir et vous aider au lancer donc même pour des pêches on va dire plus lourdes comme le brochet ça je m'en sers pour le péché même en mer cela ça c'est un peu comme un soutien et ce qui nous évite de trop forcer sur le poignet donc hyper important donc facile d'utilisation mon angle talons de la can dans le support qui est dessous le poignet et on peut prendre à cannes comme ça donc là tout de suite je suis au tout bloqué parce que je ne peux pas aller plus en arrière donc forcément la can va s'arrêter à midi on bloque et on descend et au lieu de trouver dans le système ou si je m'en sers pas pour le débutant c'est ça et en là on a une soie qui va trop loin derrière est trop de vent et ça tombe en parachute donc on le fixe dedans et voilà on accélère on bloque on accélère on bloque on accélère on bloque en accédant au bloc on accélère on bloque les oppose donc c'est vraiment on le sent pas c'est vraiment quelque chose de confortable et au bout d'un moment on va dire que c'est il peut faire partie de la pêche donc on peut l'utiliser j'insiste sur le fait on est débutant on veut corriger des défauts et de temps en temps même pour les grands pêcheurs on a des dérives où on ne pêche qu'avec le poignet alors tant que ça va on le contrôle c'est bien mais au bout d'un manche 10 minutes je pêche - manque d'habitude on reprend ça et finalement on se dit ah bah ça va mieux comme ça et je sais ça me permet de serrer la boucle ça me permet d'être beaucoup plus précis et c'est vraiment quelque chose d'intéressant donc là élèves pour débuter pour se corriger et puis pour se soulager [Musique]
3;iUDBLFfeDYU;Juwel Hellialux Spectrum - Vidéo de présentation produit;"Que diriez-vous de sublimer vos plantes 🤭? De leur donner plus d’éclat et de brillance 🤤?
Comment? Grâce à une rampe Led Hellialux Spectrum 💪.
Aqua Service vous montre les résultats époustouflants de ces Leds et vous explique comment les programmer dans cette vidéo ⬇. 

Plus d'info sur les Leds Juwel Hellialux Spectrum : .

---------------------------------------------------------------------
Musique proposée par La Musique Libre
Kubbi - Restoration : 
Kubbi : 
---------------------------------------------------------------------";presentation produit; 
4;X_Lb7UNmx0;;;presentation produit; 
5;3RGZF5d1BQ;Takoon Snack - Présentation produit;;presentation produit; 
6;P2SoMieP;AKUAFLASK Kineetik présentation produit;;presentation produit; 
7;LxhtlATHkn0;KUHN HR + VENTA - Herse rotative et Semoir - Combiné de semis (présentation produit);Retrouvez nous sur www.kuhn.com;presentation produit;  bonjour je m'appelle julien north je suis responsable produit chez kuhn pour les rotatives lse mort en ligne je vais vous présenter aujourd'hui le nouveau combiné de semis composé d'une hr 3040 une herse rotative de 3 m adapter aux tracteurs jusqu'à 300 chevaux à la prise de force et un nouveau veint à levante à 3030 à semoy réseau bus équipé d'une barre site flex et d'une trémie d'une capacité de 1500 litres les conditions d'utilisation des combinés de semis sur les exploitations sont de plus en plus variable il n'est pas rare aujourd'hui de vouloir semer aussi bien derrière un labour gras en fin de saison pour semer du blé sur un précédent maïs que travailler dans des conditions plus sèches à l'été pour semer un colza sur un précédent blé la machine doit s'adapter facilement aux différentes conditions c'est pour cela que la chair 3040 est équipée de série d'un réglage hydraulique de la profondeur de travail pour pouvoir travailler plus creux par exemple dans les tournières là où la terre a été retracé mais également un réglage hydraulique depuis la cabine et en continu de la barre niveleuse pour adapter le niveau des miettes ment aux conditions de terrain les rotations ont tendance à s'allonger aujourd'hui sur les exploitations il n'est pas rare sur une ferme aujourd'hui de trouver quatre cinq six voire plus de cultures différentes à semer dans la même année c'est pour ça que le summer nights équipe est ici d'un doseur centralisé à cannelures capables de semer aussi bien des petites graines comme du colza du trèfle à des doses de l'ordre de 1 kg à l'hectare jusqu'à des très grosses graines comme des poids ou des féveroles jusqu'à 350 à 400 kg ha ce 2 heures est entraînée électriquement c'est à dire qu'il est possible de moduler la dose de semis en cours de travail depuis la cabine manuellement si on le souhaite ou par une cartographie gps un des points les plus importants sur un combiné de semis et la qualité d'implantation c'est pour cela que le nouveau 'vente à 3030 est équipé de la barre site flex barras double disques montés sur un parallélogramme nous avons ici deux disques de grand diamètre qui sont plats et décalé l'objectif est que le premier disque coupe le sol et que le second ouvre proprement les sillons les graines sont ensuite déposées l'avant de l'axé de rotation pour que les disques les accompagne au fond du sillon chaque élément est équipé d'une roulette à l'arrière qui assure deux fonctions la première est de contrôler la profondeur des éléments se meurt individuellement et la seconde est de ras puis y est la terre sur la graine c'est le coup de pouce du jardinier un dernier point important pour cette barre et le décalage entre la première rangée de disques et la deuxième rangée de disques un décalage important de 35 centimètres pour que même en fin de saison en conditions humides la machine puisse travailler même sur un labour gras la combinaison du rouleau style liner et de la barre site flex ici assure le meilleur compromis en matière de semi puisque le rouleau va d'une part rappelé le sol et surtout faire une première ouverture devant les disques et la roulette va à l'arrière à nouveau pressé la terre sur la graine pour assurer un bon contact seul grain l'opération de semis étant toujours une opération stressante pour l'agriculteur tout a été pensé sur cette machine pour une utilisation facile aisée que ce soit laissé de débit avec des boutons d'accès direct pour lancer le doseur l'ouverture du couvercle le remplissage de la trémie la vidange de la trémie ou le réglage de la profondeur de semis pour conclure le nouveau semoir 20 à 3030 est très polyvalent ergonomique et facile d'utilisation
8;XGgy0p1dW30;;;presentation produit;  je vous présente la scoop elle 100% freestyle ou eckstein haut de gamme une aile qui est fait pour les riders qui sont en recherche d'une aile sans concessions pour pouvoir faire des manoeuvres ou quai ou principalement des bouquets que ce soit sur du free style pur ou du web style avec chose sur modules ou sur plan d'eau plat une aile qui reprend une base de six chefs mais qui est associé à des bridages pour la rendre plus accessible plus facile mais sans avoir de compromis à faire sur les performances en freestyle c'est à dire une aile qui lors de vos sauts va avoir beaucoup de ce lac dans les lignes pour pouvoir avoir des and owl parce qu'ils soient le plus facile possible une aile qui restera stable pour ne pas vous surprendre dans vos rotation et qui aura une plage devant qui sera relativement étendu pour pouvoir continuer à faire du freestyle son devoir adapter la taille de votre elle constamment par rapport aux conditions météo une aile qui est donc disponible en 4 tailles 7 9 11 et 13 mètres carrés qui est parfaite pour une utilisation sur plan d'eau plat avec un twin tip fust rap ou aussi bien sur une utilisation web style avec des choses et des modules une aile qui reprend une construction interne du band attaque qui a été revue et renforcé pour avoir une aile qui résistent mieux aux impacts lors de vos erreurs dans vos manoeuvres une aile qui reprend également le tissu double ripstop de tajines que nous utilisons depuis de nombreuses années pour la scoop mais pour lequel nous avons ré optimiser la position des panneaux ainsi que la position des renforts au niveau des oreilles du bord de fuite ou aussi du board attaque pour avoir une aide qui soit plus légère mais sans compromettre en résistance une aile qui reprend donc un bridage quatre points qu une poulie pour avoir à la fois un feeling de six chefs mais avec la polyvalence le des power et la facilité d'une haie la bridage des connecteurs de ligne sur les bridages avant qui propose trois positions pour ajuster la longueur de l'eau vos lignes avants en fonction des conditions de la puissance que vous voulez obtenir avec votre aide une aile qui a également au niveau des oreilles deux points de connexion pour pouvoir faire varier la vitesse de rotation de l'ale mais aussi adapter selon la largeur de votre barre une scoop qui reprend également notre système one peuple avec une vibe unique pour pouvoir gonfler et de gonfler votre aile le plus rapidement possible si vous êtes à la recherche d'une aile sans concessions pour le freestyle ou loïc style mais qui reste accessible pour pouvoir progresser se perfectionner et tenter de nouvelles manoeuvres je vous invite à essayer la scoop
9;NM5rqWWe8p8;Présentation Produit;"Développé avec industriels et experts Lean, TEEPTRAK est un ensemble de solutions IoT à prix concurrentiel permettant aux usines de suivre en temps-réel la performance de n’importe quel moyen de production.

TEEPTRAK s’appuie sur des algorithmes avancés, s’appuyant sur les dernières technologies de communication (capteurs, Android, Bluetooth, WIFI) et sur la contribution des opérateurs pour visualiser les origines de pertes de performance, délivrer une information de production réellement utile en temps-réel et assurer l’amélioration continue de manière intuitive, valorisante et économique.

Grâce à leur mode d’intégration externe, les systèmes tout-en-un de TEEPTRAK peuvent être installés rapidement dans un grand nombre de situations de production pour acquérir, consolider et visualiser l’information de performance via des outils d’analyse terrain (Historique de performance, Pareto des pertes, rapports automatiques, indicateurs de performance, alarmes, comptage produit,…).";presentation produit; 
