;link;title;description;category;transcriptions
0;UmrMz_dqvgY;Tutoriel: Comment utiliser un verre?;"Page Facebook: http://www.facebook.com/LeSadPanda
Twitter: https://twitter.com/ZeSadPanda
Tumblr: http://zesadpanda.tumblr.com/

Images libre de droit: ";tutoriel;  bonjour et bienvenue dans ce nouvel épisode de tutoriel vous en avez assez que votre tiroir à chaussettes ne réchauffe pas les pizzas vous ne supportez plus que votre chat ne sache pas appeler une patate et bien n'ayez crainte tutoriels et les missions qu'il vous faut et nous allons continuer nos péripéties sur tous ces objets du quotidien qui vous cherche la merde car aujourd'hui nous allons apprendre comment utiliser un verre la vie n'est pas toujours tendre avec nous elle passe son temps à nous jeter des objets d'un inventeur farfelu qui crée des choses telles que le vert et pour les petits comiques dans la salle bien sûr nous ne parlons pas de vers de terre ou alors la conclusion de cette vidéo serait vraiment très bizarre ni de la couleur verte ou ouverts parce qu'à part décidé de la diarrhée le ver ne nous serait pas très utile ici alors tout d'abord coupons court inverse est un objet peint en vert qui sert de récipients référez vous au dictionnaire pour connaître le sens du mot récipient et aussi du verbe référé et tutoriels aussi dans la foulée et de la définition tourner en rond bon en région alors certes si on dirait si bien on peut bien sûr supposer que tout peut aller de dentelle que mon chat de la terre mappy mais dans un premier aspect le vert fut créée pour contenir du liquide et avant compte amène aux urgences non pas des liquides tels que la javel ou autres liquides ménagers on va se contenter des liquides bible buvable way est plus faible ça sonne mieux bien sûr l'alcool état liquide bible mais pour la bonne continuité de cette vidéo je vais m'abstenir haut et quoique ça fait jamais de mal au petit verre et et moi jdit ouais ouais que comme ça juste de foot ses portes à die sa soeur y comprend rien gilles alouettes je suis bête mon poing dans la gueule q veuillez patienter avec cette version a capella de papillon de lumière de cindy sanders interprété par les moines bourré de dunkerque bat et et ça probable là oh oh oh oh bon et bien un truc pour m'éclaircir la tête fera une bonne idée de boire de l'alcool la folie des hommes cachent bien la tristesse qui remplit nos coeurs que le noyant chaque soir dans des verres des liqueurs qui font tomber les masques de la fourberie sur nos faciès un mur à bouche pâteuse quand même un un verre d'eau ah ben voilà ça c'est bien comme liquide buvable noliko risée de sa race mais comment le bois ton alors le corps humain est ainsi fait que seulement un orifice sur les six disponibles peuvent recevoir le dit liquide ben oui je m'y attendais à cela ok je sais c'est super prévisible comme blague mais bon le vert dans l'oreille c'est moins marrant n'essayez pas donc pour éviter de faire n'importe quoi dans les dix prochaines minutes l'eau se boit par la bouche c'est un début dans le prochain épisode de tutoriels je vous apprendrai à vous servir de votre enfant comme étoile sur un sapin de noël
1;3rBnvO9CPY;;"Tutoriel : Tour de Magie facile - Faire disparaître une carte : Apprenez à réaliser ce tour de magie qui consiste à faire disparaître une carte ! Impressionnez vos amis grâce aux secrets qui vont seront révélés dans ce tutoriel de magie facile !
Ce tutoriel vous apprend à faire disparaître une carte facilement.


Ceci est une vidéo pratique faite pour clipflip. 
Si vous aussi désirez en faire et gagner ainsi de l'argent, n'hésitez pas à nous rejoindre sur  ou bien regardez nos autres vidéos tutoriels sur ";tutoriel; 
2;XFnJusUUOi8;Réaliser une couverture de livre - Tutoriel;"Ce tutoriel présente une manière simple, rapide et très peu couteuse pour réaliser soi-même une couverture solide pour un carnet, un album photo ou même un roman !
La méthode est un mélange de plusieurs tutoriels déjà existants, que j'ai optimisé pour améliorer le rendu. Elle ne nécessite aucun outil spécial que vous n'ayez pas chez vous. (Astuce : pour récupérer des chutes de papier peint, vous pouvez demander à un magasin de décoration si ils n'ont pas de vieux catalogues :) )
N'hésitez pas à commenter si vous avez des questions,
Maintenant à vos cutters, c'est à vous de jouer !

Crédits musique : Snowmine, Let me in";tutoriel; 
3;Feuuw4tdZy4;Tutoriel et cours Access n° 5 : Importer des données dans une base de données;"Cette vidéo montre comment importer un fichier Excel dans une base de données Access 2013 et plus précisément dans notre table FILM. Il faut avoir préparé au préalable son fichier Excel pour pouvoir l'importer dans Access. Retrouver l'article écrit  ▶ 

Dans la précédente vidéo, nous avons insérer des données dans notre table (les premiers films), mais cela peut rapidement devenir rébarbatif. L'idéal est donc d'importer des données dans une base de données. Il peut s'agir de fichier contenant une grande quantité de données. Cela vous évitera de la faire un par un. 

Vous pouvez télécharger le fichier qui devra être importé (merci à Mehdi Wadoud)  ▶  

Cette vidéo est la suite de  ▶  

--------

S'abonner à la chaîne FBO Tutos ▶ 

- Site internet ▶ 

--------";tutoriel;  bonjour à toutes et à tous et bienvenue sur l'actrice nous allons voir comment importer des données logiciels access et plus précisément des films dans notre table film je vous rends ma table film maintenant pour importer des données dans ma table film j'ai plusieurs solutions par celle que j'ai retenu c'est dans un fichier excel bon allez il faut avoir dans mon fichier excel on constate donc que j'ai plusieurs films que les colonnes seront présentés par les noms des champs dans access donc pas les légendes mais bien le nom des champs que nous avons générée avec le nom à table under score est le nom de notre champ donc ce montant là et pas le nom de la légende comme ça ça va permettre ça va permettre à access répartir les données allez bonne colonne et au bon emplacement donc pour importer notre fichier excel il suffit d'aller sur données externes dans le menu cliquez sur excel ici en indique l'emplacement du fichier excel a importé donc mon fichier et dans la bibliothèque et dans le dossier vidéo donc il s'appelle importations film donc je sélectionne le nom de fichier et maintenant sélectionner alors j'ai plusieurs options et deux principales c'est importé est donné dans une nouvelle table ce qui signifie que mon fichier importations film créerait une nouvelle table mais moi ce que je souhaite c'est que mes données sur ta ajouté à la suite de ma table film donc j'indique ajouter une copie des enregistrements à la table et là si j'avais plusieurs tables de craps choisir ma table j'en ai qu'une ses films donc je valide donc on m'indique que ma table doit être fermé donc il me suit de cliquer sur oui ici j'ai un aperçu de ma feuille excel on y voit les différents champs contenues dans mon fichier excel on peut naviguer entre les feuilles mais bon il ya vingt premières fouilles qui remplit donc les données s'affichent que sur la première feuille je clique sur suivant je laisse cochée par défaut première ligne contient les en tête de colonne je valide sur suivant je laisse importé véritable film et je clique soient terminés donc on m'indique une importation est terminée je peux enregistrer les différentes étapes d'importation ça ne m'intéresse pas donc je fais fermé et si j'ouvre ma table film et 18 nouveaux films sont maintenant apparu donc je peux grandir la colonne commentaire et voilà nous avons porté nos données dans notre table access donc ce tutoriel est maintenant terminée je vous remercie d'avoir suivi et bientôt sur l'actualite x
4;9FuTKzmS9;Tutoriel Plongée UCPA N°3 : Comment réaliser une immersion;"Tous les séjours plongée à l'UCPA : http://bit.ly/UCPA-Plongée

Facebook : https://facebook.com/UCPAvacances
Twitter : 
Instagram : 

Dans ce tutoriel nous allons t'apprendre à t'immerger facilement en utilisant le bon lestage, ajusté à ta morphologie pour de bonnes sensations dans l'eau.";tutoriel; 
5;Ci43mXS65OY;Tutoriel MaxiCompte (Présentation);http://www.maxicompte.com/;tutoriel;  maxi qu'on est un logiciel gratuit de comptabilité personnelle très simple à utiliser maxi comptait multi dossier chaque dossier permettant la gestion de plusieurs comptes banques la zone supérieure gauche de la fenêtre principale présente la liste de vos comptes banques juste en dessous se trouve les soldes du conte banques sélectionnées le solde réel correspond à la différence des recettes et des dépenses de l'ensemble des opérations pointé le solde prévisionnel prend en compte les opérations n'ont pointé les virements et prélèvements automatiques ainsi que les échéances jusqu'à la date indiquée ici vous pouvez modifier cette date en cliquant sur le calendrier ici juste en dessous des soldes un petit graphique vous présente l'évolution des recettes et dépenses sur l'année en cours les deux tiers droit de la fenêtre principale sont réservés à la saisie des opérations en débit ou en crédit la liste est automatiquement ventilé par année le logiciel permet également la gestion des postes de dépenses et de recettes dans une arborescence à deux niveaux catégories et sous catégories pour chacune d'entre elles vous pourrez indiquer un budget annuel cela vous permettra par la suite de mesurer dans le tableau de bord les écarts entre le prévisionnel et le réel vous pourrez ajouter tous vos prélèvements et virements pour qu'il soit inséré automatiquement sans aucune saisie de votre part l échéancier vous permettra d'enregistrer les débits ou crédit ponctuel à venir le module de recherche permet de retrouver tous types d'opérations correspondant aux critères du filtre les statistiques permettent de visualiser graphiquement l'évolution ou la répartition de l'historique de vos comptes banques le logiciel vous permettra d'imprimer tous types de documents relevés de comptes bordereau de remise de chèques la liste des comptes des prélèvements et virements automatiques
6;kSjMLYkOFrM;ZOTERO 5.0 Tutoriel n°4: Collecter des références bibliographiques (1/2);Importer automatiquement des références bibliographiques;tutoriel;  dans ce tutoriel nous allons voir comment collecter des références bibliographiques sur hot et eau pendant votre navigation vous pouvez remarquer que zotero affiche une icône qui diffère selon les références trouvées [Musique] nous allons voir comment importer les références bibliographiques d'une page web pour importer ses références cliquer sur l'icône en haut de votre navigateur zotero importe les informations utiles pour rédiger les références graphiques ces informations s'affichent de façon abrégé dans le cadre central et de façon détaillée dans le cadre de droite nous allons voir comment importer les références bibliographiques et un livre pour importer ses références cliquer sur l'icône en forme de livre haut de votre navigateur votre référence a bien été importés nous allons voir comment apporter les références le graphique d'une thèse pour importer ses références cliquer sur l'icône en forme de top ou de votre navigateur souterrains importe les informations relatives à la thèse ainsi que le résumé de la thèse ou de mémoire pour importer matic de revue cliquez sur l'icône en haut de votre navigateur votre référence a bien été apportées pour importer plus de références cliquez sur l'icône en forme de dossier en haut de votre navigateur une liste de références s'affiche cocher le ou les références qu'on voulait ajouter à votre bibliothèque cliquez sur ok cela vous permet d'importer plusieurs références à la fois [Musique]
7;_Ne0hl0N_HU;WAVEN - Comment combattre | Tutoriel;"Tu veux jouer à WAVEN avec tes potes et leur mettre une bonne raclée d’entrée de jeu ? Regarde cette vidéo, ce sera un bon début…
TÉLÉCHARGE WAVEN : https://www.waven-game.com/fr/telecha...
ABONNE-TOI À LA CHAÎNE : 

Suis l’actualité de WAVEN :  
Facebook :  
Twitter :  
Le blog de Tot : 

WAVEN est un RPG tactique en ligne qui te propose d’affronter des joueurs du monde entier dans des combats au tour par tour dynamiques émaillés d’action et de rebondissements. Ce tuto t’aidera à prendre le jeu en main et à savoir combattre. C’est un guide des combats PvP qui explique comment fonctionne l’interface, le plateau de combat, les sorts, les compagnons, mais aussi les attaques, les déplacements, ainsi que la mort subite. 

Rendez-vous très prochainement en alpha ouverte !";tutoriel;"  Un combat s'effectue sur une carte 
de 7 par 7, soit 49 cases. Votre personnage est toujours placé en bas à gauche du plateau,  et votre adversaire en haut à droite. Les informations relatives à votre adversaire 
sont affichées en haut à droite de l'écran,  vous y trouvez : le nombre de PA, de Points de Réserve, de Points de Jauge  ainsi que le nombre de sort qu'il possède dans sa main. En bas à gauche de l'écran, vous retrouvez
les mêmes informations concernant votre personnage. Au centre bas de l'écran, vous retrouvez les sorts de votre personnage. Votre main de départ se détermine par un système de pioche :  vous possédez un deck de 9 sorts 
qui apparaissent aléatoirement au lancement du combat. Lorsque vous jouez un sort, ce dernier disparait de votre main, et vous le re-piochez dès lors que les 8 autres  ont déjà été tirés une première fois. Si le premier tirage est aléatoire, les autres ne le sont plus : vous piochez vos sorts dans l'ordre dans 
lequel vous les avez joués précédemment. Vous ne pouvez posséder plus de 7 sorts dans votre main. Chaque sort nécessite un coût en PA pour être lancé.  Les effets sont visibles au survol des icônes. Un sort permet également d'obtenir des Points, 
de Jauges élémentaires  ou de Réserve : Les Points de Réserve ne sont ni plus ni moins que des PA  que vous pouvez stocker et choisir d’utiliser dans un tour précis. Les Points de Jauges élémentaires vous permettent 
d’invoquer un Compagnon sur le terrain Les Compagnons sont manipulés par le joueur :  dès qu’il est posé sur le terrain, vous pouvez le jouer.  A noter que toute action s’effectue durant votre tour de jeu, qu’il s’agisse de votre personnage ou de vos compagnons.  Cliquez et maintenez le clic sur votre personnage  pour le déplacer vers la cellule de votre choix. Subtilité à retenir dans WAVEN : l’attaque au corps à corps  e coûte pas de PA, mais elle est couplée au déplacement. Donc, pour attaquer votre adversaire,  vous devez relâcher la souris en ciblant ce dernier  pour que votre personnage se déplace et l’attaque. Pour attaquer avec un sort,  sélectionnez celui de votre choix dans votre main et déplacez-le sur votre cible. Notez qu’il n’y a pas de notion de Portée, de Ligne de vue, de Dommages de poussée  ou de tacle, ni de Dommages accrus 
selon la position du personnage. Certains sorts vous permettent d’appliquer des états : ces états restent en jeu tant qu’ils ne sont pas activés  ou remplacés par un autre,  et permettent de déclencher
 des effets supplémentaires. En combat 1 contre 1,  , chaque joueur dispose d’une réserve de temps de 5 minutes, décomposée en tours de 60 secondes maximum. Une fois la réserve de temps écoulée, les tours passent automatiquement à 15 secondes. Le premier joueur à éliminer le héros adverse remporte le combat. "
8;r_yR2JMdqWU;Tutoriel couverture ardoise, étape 5: le plain carré;"Stéphane vous montre toutes les étapes de la réalisation d'une couverture ardoise sur liteaux.
Ce cinquième épisode abordera la réalisation du plain carré:

La rive et le doublis sont terminés, on va pouvoir commencer à couvrir réellement notre toiture.

Pour cela, nous aurons besoin de :

-marteau de couvreur
-pince à découper l'ardoise ou enclume
-crochets agrafe et pointe
-ardoises


Retrouvez plus d'informations sur notre site internet : ";tutoriel; 
9;LUj-vPjYLK0;Comment utiliser le régulateur de vitesse adaptatif ‘ACC‘ | Tutoriel | Volkswagen;"Régulateur de vitesse adaptatif ‘ACC‘ : pour savoir comment utiliser cette fonction, regardez ce tutoriel vidéo.

Découvrez plus d'innovations Volkswagen : 

Développer vos performances grâce au programme Driving Experience : 
 
Volkswagen et Moi  : 
Facebook : 
Twitter : 
Instagram : 

À propos du régulateur de vitesse adaptatif ‘ACC‘:
Quand la circulation est intense, mieux vaut garder une distance de sécurité. Le régulateur de vitesse adaptatif 'ACC' vous aide à maintenir cette distance. De manière autonome, il surveille et maintient en permanence la bonne distance avec le véhicule qui vous précède. Vous n'avez plus à agir sur les pédales.
Apprenez-en plus sur les bénéfices du régulateur de vitesse adaptatif avec cette vidéo de présentation : 

Découvrez toutes nos vidéos : ";tutoriel;  attention il va dégoûter objet non t'inquiètes pas j'ai activé la cccg c'est quoi c'est le club de foot oui enfin dans ses autres une fonction qui te permet de garder une distance de sécurité avec la voiture de devant ça marche comme le régulateur d'appui sur 7 pour définir ta vitesse et tu l'a juste avec les boutons + moins de 10 kilomètres rang 10 km heure et avec les boutons 7 erez de 1 km en exil au m eur alors ensuite je sélectionne la distance que tu veux maintenir avec le véhicule de devant en appuyant sur le bouton central le minimum c'est la distance de sécurité réglementaires mais tu peux l'agrandir en appuyant sur le bouton central et tu as juste avec les boutons + et - alors c'est vraiment pratique parce qu'avec la boîte dsg la voiture va jusqu'à l'arrêt complet à condition que la voiture de devant s'arrête évidemment tu touche pas les pédale la voiture s'arrête et elle repart tout seul en s'adaptant la vitesse de la voiture de devant et si je veux conduire sans on va à tapis sur 0 pour mettre en pause ou alors tu freines et plus tard quand tu veux réactive et appuyez sur rêve pour repartir la vitesse que tu avais sélectionnés ou alors tu appuies sur 7 pour définir une nouvelle vitesse et et tu doit redéfinir de distance à chaque fois non non quand même 10 aux pensées sont malins les mecs la voiture peut garder en mémoire qui ont gardé un réglage dont le menu car tu sélectionnes réglage du système d'aidé à la conduite dans la rubrique a cessé tu peux définir la distance que tu souhaites maintenir quand active la cc dans la ligne distance mais tu peux mettre faible très faible ou grandes et sinon tu peux choisir la dernière distance sélectionnés et la ccva la garder en mémoire tu te que le volant quoi bientôt on aura du mal à faire voilà un peu comme toi [Musique] c'est pas le problème et en terme de discussions qui c'est qui qui sait qui tu raconte des choses sympas ça c'est toi voilà photo à gauche
