project_id,project,customer_id,customer,date,youtube_id
21545,Timeline,720,IAD,2019-02-05 08:39:43,zxkk2GKw71s
22342,1er,720,IAD,2019-02-20 11:39:45,FL5uuhvJqVg
22427,Cycy,720,IAD,2019-02-21 12:32:16,FufeVXBlN98
22444,Paris 13e,720,IAD,2019-02-21 15:21:49,IF1oCSG8ZMM
22448,2,720,IAD,2019-02-21 15:49:51,uFlZ9v5tZYY
22490,template réseaux sociaux,720,IAD,2019-02-22 13:55:54,up_lkP3t1yA
22519,Mlle Ledu,720,IAD,2019-02-23 14:15:07,iKWuCh_kRWM
22521,Test easy movie,720,IAD,2019-02-23 17:41:07,ZuYYrQY7Xkg
22523,2eme,720,IAD,2019-02-23 19:06:43,UEzVka26u4o
22722,Presentation,720,IAD,2019-02-27 08:45:45,eaeLWU8ZlHk
22801,Presentation julien royer,720,IAD,2019-02-28 10:15:29,cEor2kyavkU
22846,présentation,720,IAD,2019-03-01 07:11:38,rotsKfKWwKw
22856,Magny les hameaux,720,IAD,2019-03-01 10:25:04,Kj08NEAZAJA
22865,Post fv,720,IAD,2019-03-01 12:40:32,CJsh5fiD6zw
22889,Gwénaëlle Fillion Iad France Niort,720,IAD,2019-03-01 16:59:37,43TpKFVIdW8
22897,présentation des services,720,IAD,2019-03-01 21:19:31,Rhx1anlsJyw
22899,domaine proche Niort,720,IAD,2019-03-02 07:39:35,rSNvcA4HHmU
22906,Video iad presentation,720,IAD,2019-03-03 16:07:50,qheVFXxepN0
22924,présentation des services v2,720,IAD,2019-03-04 11:47:43,tjqb37oIIjY
22997,pub,720,IAD,2019-03-05 13:21:54,jA8h8M8-30A
23001,test2,720,IAD,2019-03-05 14:11:37,URrPP12jLAg
23008,vidéo3,720,IAD,2019-03-05 14:37:40,nchvlSQ1K30
23100,Presentation insta,720,IAD,2019-03-06 16:14:29,gMkDxlG_FEM
23270,camblain châtelain 126500 fermett,720,IAD,2019-03-09 17:31:46,_9gFgZGfGys
23273,Vendôme,720,IAD,2019-03-09 19:08:46,9dmbybN_6ZY
23275,Thérouldeville 4 chambres,720,IAD,2019-03-09 22:58:33,fZBt0jvTor0
23281,Agnès Gautier IAD Sucy,720,IAD,2019-03-10 17:02:40,40SaYErKe7Q
23336,Appartement Forgeron,720,IAD,2019-03-11 15:56:18,Nc70oPHjBOs
23343,Test presentation,720,IAD,2019-03-11 17:26:22,aujzn77ccNw
23556,Audrey Guilloteaux,720,IAD,2019-03-15 14:47:35,SlsP687D2KU
23655,Presentation,720,IAD,2019-03-19 08:10:38,wVO-5yJltB8
23697,20A,720,IAD,2019-03-19 15:45:02,Ts_Lv8V5L0s
23716,Motion design perso,720,IAD,2019-03-19 18:56:28,2UETz1pkpss
23719,Chrys2,720,IAD,2019-03-19 20:15:06,GC4chmkK3wA
23761,Maison 126m2 proche Sarrebourg (Brouderdorff),720,IAD,2019-03-20 16:31:19,S2b9yd1GNLU
23763,présentation iad brice benoist ezanville,720,IAD,2019-03-20 16:48:56,9cpE8G9VOBw
23765,Client 1.1,720,IAD,2019-03-20 16:52:12,taTd6thW9MM
23879,Presentation,720,IAD,2019-03-22 06:40:31,0PnwCQIW2II
23923,Maison proche Niort,720,IAD,2019-03-22 17:05:53,mz7O771ODwU
23936,A VENDRE Maison de Village à CAROMB 84330 / 380000€,720,IAD,2019-03-23 07:10:35,FjEwnJXfJS0
23944,Client 2 PVP,720,IAD,2019-03-24 11:04:50,uhJLMvpe7q4
23954,présentation,720,IAD,2019-03-25 08:46:41,pasMO_yqYno
24016,Ml3cSjBJ angybeguin,720,IAD,2019-03-25 16:35:17,2ynArwOLLsQ
24116,Vidéo présentation Aline,720,IAD,2019-03-27 08:32:04,_r_mcFt-4JQ
24154,Epineuil (89) - maison de ville,720,IAD,2019-03-27 14:01:48,v1AGv20tTas
24202,maison à Surgères,720,IAD,2019-03-28 08:12:28,7GBGf4-C8ns
24345,Maison st ger,720,IAD,2019-03-29 19:20:52,K3tPLG3j42w
24352,Vidéo de présentation,720,IAD,2019-03-30 09:06:36,WpvhEOw1mmA
24359,Maison Mme Vincente,720,IAD,2019-03-30 16:44:55,jUehHd7mwwQ
24512,Presentation courte,720,IAD,2019-04-03 07:24:17,ram2yd4ud0Y
24537,Concrétisons ensemble votre projet immobilier,720,IAD,2019-04-03 11:29:13,O-FIrjXUa6A
24588,test1,720,IAD,2019-04-04 09:53:34,VQKHY9H2UU8
24672,La rade,720,IAD,2019-04-05 09:22:02,pEgNaIGzAcU
24690,Ma pub,720,IAD,2019-04-05 12:55:39,JQlJICtmRxI
24729,Prusy,720,IAD,2019-04-06 10:52:11,Owqt8UGpsjM
24751,Maison aux adrets de l esterel,720,IAD,2019-04-08 08:50:49,bYEdXx2ALCs
24815,Assas,720,IAD,2019-04-09 09:56:23,DC2SNyVzbpw
24818,Vaudoyer,720,IAD,2019-04-09 11:12:34,7GDNUectILU
24867,gg moliets,720,IAD,2019-04-09 18:56:51,gRCNoc-5rwI
24965,Semi pp Neuve-Chapelle,720,IAD,2019-04-11 12:22:22,KdWh_u1QUtc
24995,Mélisey (89) - Maison 4 pièces.,720,IAD,2019-04-11 16:20:05,1ORixGkq9BI
25070,Maison Axe Châlons/Reims,720,IAD,2019-04-13 20:54:10,8YaBuRnex4c
25263,Ski eva,720,IAD,2019-04-16 18:40:29,8rlrWNEdN_M
25284,La Mongie,720,IAD,2019-04-17 11:21:52,cY_j5nwgNhE
25429,Maison Fagnieres,720,IAD,2019-04-19 06:24:34,8Zx-dRsQsng
25545,maison 190 m2,720,IAD,2019-04-23 19:20:56,ccCEeYeuTyU
25727,apparemment Longjumeau 1 ludo,720,IAD,2019-04-26 14:37:05,Bir8oPSovYI
25754,chauffry,720,IAD,2019-04-26 22:33:06,Ds2dOVeQ44k
25758,T3 fronval 59m2,720,IAD,2019-04-28 09:19:01,yMmVol9xq9E
25831,Athis mons,720,IAD,2019-04-30 09:15:08,5J-l5h_45Mg
25920,Projet de vente,720,IAD,2019-05-02 09:35:11,BM_F49uYHUw
26096,Maison Vitrolles,720,IAD,2019-05-07 14:48:47,CMvzw7wEAfk
26119,Vallieres ancien garage,720,IAD,2019-05-08 03:40:07,dOMZp1vt4zs
26585,F5 saint leonard,720,IAD,2019-05-18 05:26:18,nyquYQ08oQw
26811,Video estim,720,IAD,2019-05-23 08:10:12,oMfAXKAF95k
26856,Maison Livry-Gargan,720,IAD,2019-05-23 18:39:03,h_esxCnxqV0
26952,Hosmalin Kalic,720,IAD,2019-05-25 18:41:42,hmtKk9AtErg
27079,Mai 2019 test,720,IAD,2019-05-28 09:10:13,lXnfYJFhWfU
27086,Mai 2019 recrutement,720,IAD,2019-05-28 09:33:37,ogSF-xVD2ro
27155,MR CAVALERI,720,IAD,2019-05-29 08:59:19,KIELkKv1t5c
27230,BeineNauroy,720,IAD,2019-05-30 17:34:59,guDHyW0sIpc
27273,METZ WOIPPY,720,IAD,2019-05-31 16:15:46,yf53XAkN_Pw
27282,Saint Yrieix La Perche,720,IAD,2019-06-01 10:32:30,XMjaDADfHOQ
27306,Maison pierres PLEYBEN,720,IAD,2019-06-03 09:00:11,90MIyS0x21g
27405,la croisille sur briance,720,IAD,2019-06-04 10:38:11,5cQfCDk6xlI
27550,Savigny 1,720,IAD,2019-06-05 21:00:27,VkT-eYJQ00U
27573,Rejoignez l'équipe !,720,IAD,2019-06-06 12:32:28,EICgZUiGKxE
27594,Equipe,720,IAD,2019-06-06 14:03:14,CKh844hArgs
27707,Marie-Pierre Corrèze IAD France,720,IAD,2019-06-08 10:30:19,hC_Q1o6G2DQ
27735,Développement,720,IAD,2019-06-10 17:30:20,6OdoN5YXO1M
27738,maison isbergues,720,IAD,2019-06-10 19:24:03,Oh4r9z3sG20
27798,Un projet immobilier ? Pensez IAD !,720,IAD,2019-06-11 17:20:35,sXXzXQgE42A
27966,maison esquerdes 5,720,IAD,2019-06-13 16:14:09,yLeGJXidiU8
28566,Appart Alain,720,IAD,2019-06-22 22:02:18,McycPNzK5Ro
28682,Recritement,720,IAD,2019-06-24 18:32:27,FRJl6SDe7aw
28984,Ruaudin,720,IAD,2019-06-28 15:11:16,ZZlG3ONnXp4
28986,Bretigny,720,IAD,2019-06-28 15:22:46,51LB5xMxO4k
29019,Developpement,720,IAD,2019-07-01 10:24:41,30FoWY5vo-g
29067,Pavillon T6 Laventie,720,IAD,2019-07-02 06:39:34,8qm-01Qve9s
29233,Rejoindre IAD,720,IAD,2019-07-04 07:59:44,yPPUHdgIwww
29418,maison Tardif,720,IAD,2019-07-08 14:26:43,CqPTdl5txns
29625,Magny le Hongre 2 pièces,720,IAD,2019-07-12 04:29:09,SfCDVl5rcc0
29643,Wittenheim location F2 3ieme étage,720,IAD,2019-07-12 12:51:54,U7tltqE4zgI
30255,Marc,720,IAD,2019-07-25 09:59:32,gdKYxKQdwQg
30422,Développement équipe 07-2019,720,IAD,2019-07-30 11:02:13,4caVjJ2Zau8
30522,virginie,720,IAD,2019-08-01 07:11:47,O7LG-tyG_Xk
30750,apparemment 61m2 Limoges,720,IAD,2019-08-07 08:34:20,dQ9HgNthJK4
31048,Test,720,IAD,2019-08-22 01:03:09,G7s-EWYpyQk
31123,Appertement F3 Mulhouse,720,IAD,2019-08-24 15:53:38,EfYJ3PekW4M
31136,présentation de service,720,IAD,2019-08-26 08:26:41,bkdR3wNSP0k
31165,Safanjon Niort sept 2019,720,IAD,2019-08-26 20:46:58,eJntOMCzq4Q
31509,Maison Ennery 193 m2,720,IAD,2019-09-04 09:49:08,DxPA2O9GUYY
31657,Vidéo de Rentrée,720,IAD,2019-09-06 13:32:48,fdx7iEpbk78
31666,Video rentee,720,IAD,2019-09-06 14:47:48,1qrWVHH9_bY
31682,Vidéo de rentrée,720,IAD,2019-09-07 09:03:38,0y2jsJ3dM1c
31697,Xavier NATARIO-rentrée 2020,720,IAD,2019-09-09 07:43:07,nhmQKM7OHHs
31751,La rentree de vos orojets,720,IAD,2019-09-10 09:07:24,fN3w53VL3es
31783,rentrée 2019 patrick,720,IAD,2019-09-10 12:33:12,NU1lQuAZkvo
31930,Fred4,720,IAD,2019-09-12 12:20:42,rCyGZNNZjlQ
31968,Rentree 2019,720,IAD,2019-09-12 17:20:09,fnW1w47H3O8
32040,Location Aristide Briand,720,IAD,2019-09-15 19:52:56,elR-Fk_IeWk
